id,name_en,name_zh,category_id,cost,fling_power,fling_effect_id,description
426,poffin-case,宝芬盒,21,0,,,"用来保存烹饪好的
宝芬的容器。"
427,bicycle,,21,0,,,
428,suite-key,房间钥匙,20,0,,,"湖畔高级宾馆的房间钥匙。
不知为何，它经常会丢失。"
429,oaks-letter,大木的信,20,0,,,"大木博士的来信。
上面写着请来２２４号道路。"
430,lunar-wing,新月之羽,20,0,,,"散发着月辉般光芒的羽毛。
据说隐藏着可以驱散恶梦的力量。"
431,member-card,会员卡,20,0,,,"可以进入水脉市旅馆的卡片。
不知为何，上面刻有
５０年前左右的日期。"
432,azure-flute,天界之笛,20,0,,,"能发出响彻云霄的天籁之音的笛子。
不知道是谁在什么时候制造的它。"
433,ss-ticket,船票,22,0,,,"乘坐高速船水流号时所需的船票。
上面绘有船的图案。"
434,contest-pass,华丽大赛参加证,21,0,,,"拿着它就可以参加宝可梦华丽大赛。
上面印有纪念奖章。"
435,magma-stone,火山镇石,22,0,,,"被灼热熔岩熔化的岩石
凝固后形成的产物。
里面还留有熔岩。"
436,parcel,包裹,22,0,,,"这是别人托付给你的包裹。
需要将它交给从双叶镇启程
踏上旅途的青梅竹马。"
437,coupon-1,兑换券１,22,0,,,"获取宝可梦手表，简称宝可表时
所需的兑换券。需要３张。"
438,coupon-2,兑换券２,22,0,,,"获取宝可梦手表，简称宝可表时
所需的兑换券。需要３张。"
439,coupon-3,兑换券３,22,0,,,"获取宝可梦手表，简称宝可表时
所需的兑换券。需要３张。"
440,storage-key,仓库钥匙,22,0,,,"用于进入银河队在帷幕市市郊的
可疑仓库的钥匙。"
441,secret-potion,秘传之药,22,0,,,"在湛蓝市的药店里得到的，
能让任何宝可梦立刻变得
精力充沛的高效药。"
442,griseous-orb,白金宝珠,18,0,60.0,,"让骑拉帝纳携带的话，
龙和幽灵属性的招式威力就会提高。
散发着光辉的宝珠。"
443,vs-recorder,对战记录器,21,0,,,"很酷的机器。
可以记录和朋友或
在特殊设施里的对战过程。"
444,gracidea,葛拉西蒂亚花,20,0,,,"在生日或纪念日等日子里，
为了表达感激之情，
有时会将其扎成花束送出。"
445,secret-key,秘密钥匙,20,0,,,"在特定的地方使用，
就会发出特殊电信号
来开门的高科技钥匙。"
446,apricorn-box,球果盒,21,0,,,"使用方便，可以保存
９９个球果的容器。"
447,berry-pots,树果种植盆,21,0,,,"可以随时轻松培育树果的
便携式栽培容器。"
448,squirt-bottle,杰尼龟喷壶,22,0,,,"浇水的道具。
能让树果种植盆里的
树果快快长大。"
449,lure-ball,诱饵球,39,0,,,"有点与众不同的球。
能很容易地捕捉
用钓竿钓上来的宝可梦。"
450,level-ball,等级球,39,0,,,"有点与众不同的球。
要捕捉的宝可梦比自己宝可梦的
等级越低，就会越容易捕捉。"
451,moon-ball,月亮球,39,0,,,"有点与众不同的球。
能很容易地捕捉
使用月之石进化的宝可梦。"
452,heavy-ball,沉重球,39,0,,,"有点与众不同的球。
能很容易地捕捉
身体沉重的宝可梦。"
453,fast-ball,速度球,39,0,,,"有点与众不同的球。
能很容易地捕捉
逃跑速度很快的宝可梦。"
454,friend-ball,友友球,39,0,,,"有点与众不同的球。
捉到的野生宝可梦会立刻
变得和训练家亲密起来。"
455,love-ball,甜蜜球,39,0,,,"有点与众不同的球。
能很容易地捕捉
和自己宝可梦性别不同的宝可梦。"
456,park-ball,公园球,34,0,,,"在伙伴公园里使用的
特殊的球。"
457,sport-ball,竞赛球,34,300,,,"曽在城都地区的捕虫大赛上使用的
特殊的球。"
458,red-apricorn,红球果,40,200,10.0,,"红色的球果。
有种刺鼻的气味。"
459,blue-apricorn,蓝球果,40,200,10.0,,"蓝色的球果。
略有一股青草的香味。"
460,yellow-apricorn,黄球果,40,200,10.0,,"黄色的球果。
有种清爽的香味。"
461,green-apricorn,绿球果,40,200,10.0,,"绿色的球果。
有种焦香的香味，非常神奇。"
462,pink-apricorn,粉球果,40,200,10.0,,"粉红色的球果。
有种甜甜的，好闻的香味。"
463,white-apricorn,白球果,40,200,10.0,,"白色的球果。
没有任何气味。"
464,black-apricorn,黑球果,40,200,10.0,,"黑色的球果。
有种无法形容的气味。"
465,dowsing-machine,探宝器,21,0,,,"会对看不见的道具起反应，
并将它的位置告诉你的最尖端机器。
戴在头上使用。"
466,rage-candy-bar,愤怒馒头,21,350,30.0,,"卡吉镇特产的馒头。
能治愈１只宝可梦的
所有异常状态。"
467,red-orb,朱红色宝珠,22,0,,,"散发着红色光辉的宝珠。
据说和丰缘地区的传说渊源颇深。"
468,blue-orb,靛蓝色宝珠,22,0,,,"散发着蓝色光辉的宝珠。
据说和丰缘地区的传说渊源颇深。"
469,jade-orb,草绿色宝珠,22,0,,,"散发着绿色光辉的宝珠。
据说和丰缘地区的传说渊源颇深。"
470,enigma-stone,谜之水晶,20,0,,,"从地下挖出的水晶球。
虽然表面覆盖着岩石和尘土，
但非常漂亮。"
471,unown-report,未知图腾笔记,21,0,,,"记录着已找到的
未知图腾样子的笔记本。"
472,blue-card,蓝卡,21,0,,,"可以将《葵妍的密语》
这节目的点数积攒起来的卡片。"
473,slowpoke-tail,美味尾巴,23,0,,,"非常美味的某种尾巴。
可以在商店高价出售。"
474,clear-bell,透明铃铛,22,0,,,"能发出静心宁神音色的，
非常古旧的铃铛。"
475,card-key,钥匙卡,22,0,,,"用来打开电台卷帘门的
卡片式钥匙。"
476,basement-key,地下钥匙,22,0,,,"用来打开满金地道
大门的钥匙。"
477,red-scale,红色鳞片,22,0,,,"在愤怒之湖里出现的
红色暴鲤龙的鳞片。
散发着像火一样的红色光芒。"
478,lost-item,遗失物,22,0,,,"模仿少女丢失的
魔尼尼人偶。"
479,pass,磁浮列车自由票,22,0,,,"乘坐磁浮列车时所需的车票。
可以随时自由乘坐。"
480,machine-part,机械零件,22,0,,,"发电厂里被盗的，
用于发电机的重要零件。"
481,silver-wing,银色之羽,22,0,,,"散发着银色光辉的
神奇羽毛。"
482,rainbow-wing,虹色之羽,22,0,,,"散发着虹色光辉的
神奇羽毛。"
483,mystery-egg,神奇蛋,22,0,,,"从宝可梦爷爷那里得到的
有着神奇花纹的蛋。
不知道是什么的蛋。"
484,gb-sounds,ＧＢ播放器,21,0,,,"可以听到怀旧歌曲的音乐播放器。
可用一个开关切换歌曲。"
485,tidal-bell,海声铃铛,22,0,,,"能发出静心宁神音色的，
非常古旧的铃铛。"
486,data-card-01,数据卡０１,41,0,,,"ー
ー
ー"
487,data-card-02,数据卡０２,41,0,,,"ー
ー
ー"
488,data-card-03,数据卡０３,41,0,,,"ー
ー
ー"
489,data-card-04,数据卡０４,41,0,,,"ー
ー
ー"
490,data-card-05,数据卡０５,41,0,,,"ー
ー
ー"
491,data-card-06,数据卡０６,41,0,,,"ー
ー
ー"
492,data-card-07,数据卡０７,41,0,,,"ー
ー
ー"
493,data-card-08,数据卡０８,41,0,,,"ー
ー
ー"
494,data-card-09,数据卡０９,41,0,,,"ー
ー
ー"
495,data-card-10,数据卡１０,41,0,,,"ー
ー
ー"
496,data-card-11,数据卡１１,41,0,,,"ー
ー
ー"
497,data-card-12,数据卡１２,41,0,,,"ー
ー
ー"
498,data-card-13,数据卡１３,41,0,,,"ー
ー
ー"
499,data-card-14,数据卡１４,41,0,,,"ー
ー
ー"
500,data-card-15,数据卡１５,41,0,,,"ー
ー
ー"
501,data-card-16,数据卡１６,41,0,,,"ー
ー
ー"
502,data-card-17,数据卡１７,41,0,,,"ー
ー
ー"
503,data-card-18,数据卡１８,41,0,,,"ー
ー
ー"
504,data-card-19,数据卡１９,41,0,,,"ー
ー
ー"
505,data-card-20,数据卡２０,41,0,,,"ー
ー
ー"
506,data-card-21,数据卡２１,41,0,,,"ー
ー
ー"
507,data-card-22,数据卡２２,41,0,,,"ー
ー
ー"
508,data-card-23,数据卡２３,41,0,,,"ー
ー
ー"
509,data-card-24,数据卡２４,41,0,,,"ー
ー
ー"
510,data-card-25,数据卡２５,41,0,,,"ー
ー
ー"
511,data-card-26,数据卡２６,41,0,,,"ー
ー
ー"
512,data-card-27,数据卡２７,41,0,,,"ー
ー
ー"
513,lock-capsule,上锁的容器,23,0,,,"需用特殊钥匙打开的
坚固的容器。"
514,photo-album,相册,23,0,,,"用来摆放在冒险中拍摄的
纪念相片的相册。"
515,orange-mail,,25,50,,,
516,harbor-mail,,25,50,,,
517,glitter-mail,,25,50,,,
518,mech-mail,,25,50,,,
519,wood-mail,,25,50,,,
520,wave-mail,,25,50,,,
521,bead-mail,,25,50,,,
522,shadow-mail,,25,50,,,
523,tropic-mail,,25,50,,,
524,dream-mail,,25,50,,,
525,fab-mail,,25,50,,,
526,retro-mail,,25,0,,,
527,mach-bike,音速自行车,21,0,,,"能以２倍以上的速度移动的
折叠式自行车。"
528,acro-bike,越野自行车,21,0,,,"能做出跳跃或抬前轮动作的
折叠式自行车。"
529,wailmer-pail,吼吼鲸喷壶,21,0,,,"浇水的道具。
能让埋在土壤里的
树果快快长大。"
530,devon-goods,,22,0,,,
531,soot-sack,集灰袋,21,0,,,"将堆积起来的火山灰
收集起来的袋子。"
532,pokeblock-case,,21,0,,,
533,letter,给大吾的信,22,0,,,"从得文社长
那里得到的信。"
534,eon-ticket,无限船票,20,0,,,"前往南方孤岛的船票。
橙华道馆的馆主千里
知道其中的秘密！？"
535,scanner,探测器,22,0,,,"在海紫堇中
找到的道具。"
536,go-goggles,ＧＯＧＯ护目镜,21,0,,,"能在沙漠的沙暴中
保护眼睛的出色护目镜。"
537,meteorite,陨石,22,0,,,"原本是落入流星瀑布里的陨石。
是在烟囱山获得的。"
538,rm-1-key,,22,0,,,
539,rm-2-key,,22,0,,,
540,rm-4-key,,22,0,,,
541,rm-6-key,,22,0,,,
542,devon-scope,得文侦测镜,21,0,,,"会对看不见的宝可梦起反应，
并发出声音的得文特制产品。"
543,oaks-parcel,,22,0,,,
544,poke-flute,宝可梦之笛,22,0,,,"能吹出让睡着的宝可梦
都会情不自禁醒来的
美妙音色的笛子。"
545,bike-voucher,,22,0,,,
546,gold-teeth,金假牙,22,0,,,"狩猎地带的园长遗失的金假牙。
装上它后，笑起来十分耀眼。"
547,lift-key,电梯钥匙,22,0,,,"带有火箭队标志的钥匙。
能启动位于火箭队基地的电梯。"
548,silph-scope,西尔佛检视镜,22,0,,,"西尔佛公司制造的透视镜。
可以看见人眼无法看见的东西。"
549,fame-checker,,21,0,,,
550,tm-case,招式学习器盒,21,0,,,"ー
ー
ー"
551,berry-pouch,,21,0,,,
552,teachy-tv,,21,0,,,
553,tri-pass,,22,0,,,
554,rainbow-pass,,22,0,,,
555,tea,茶,22,0,,,"有一点点苦，
却又芬芳宜人的香茶。
抿一口，清咽润喉。"
556,mysticticket,,20,0,,,
557,auroraticket,,20,0,,,
558,powder-jar,,21,0,,,
559,ruby,,22,0,,,
560,sapphire,,22,0,,,
561,magma-emblem,,22,0,,,
562,old-sea-map,,20,0,,,
563,douse-drive,水流卡带,18,0,70.0,,"这是让盖诺赛克特携带的卡带。
携带后，高科技光炮这招式
就会变为水属性。"
564,shock-drive,闪电卡带,18,0,70.0,,"这是让盖诺赛克特携带的卡带。
携带后，高科技光炮这招式
就会变为电属性。"
565,burn-drive,火焰卡带,18,0,70.0,,"这是让盖诺赛克特携带的卡带。
携带后，高科技光炮这招式
就会变为火属性。"
566,chill-drive,冰冻卡带,18,0,70.0,,"这是让盖诺赛克特携带的卡带。
携带后，高科技光炮这招式
就会变为冰属性。"
567,sweet-heart,心形甜点,27,3000,30.0,,"非常甜腻的巧克力。
能让１只宝可梦
回复２０ＨＰ。"
568,greet-mail,初次邮件,25,50,,,"方便写初次见面这类寒暄语的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
569,favored-mail,喜爱邮件,25,50,,,"方便写表达自己喜好这类邮件的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
570,rsvp-mail,邀请邮件,25,50,,,"方便写邀请对方这类邮件的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
571,thanks-mail,感谢邮件,25,50,,,"方便写表达感谢这类邮件的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
572,inquiry-mail,询问邮件,25,50,,,"方便写询问对方这类邮件的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
573,like-mail,推荐邮件,25,50,,,"方便写推荐内容这类邮件的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
574,reply-mail,回复邮件,25,50,,,"方便写回复邮件的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
575,bridge-mail-s,桥梁邮件Ｓ,25,50,,,"印有通天桥图案的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
576,bridge-mail-d,桥梁邮件Ｈ,25,50,,,"印有鲜红色活动桥图案的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
577,bridge-mail-t,桥梁邮件Ｃ,25,50,,,"印有钢铁吊桥图案的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
578,bridge-mail-v,桥梁邮件Ｖ,25,50,,,"印有砖桥图案的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
579,bridge-mail-m,桥梁邮件Ｗ,25,50,,,"印有拱桥图案的信纸。
使用该道具时，
需要让宝可梦携带着来用。"
580,prism-scale,美丽鳞片,10,2000,30.0,,"能让某些特定宝可梦
进化的神奇鳞片。
散发着虹色光辉。"
581,eviolite,进化奇石,12,4000,40.0,,"进化的神奇石块。
携带后，还能进化的宝可梦的
防御和特防就会提高。"
582,float-stone,轻石,12,4000,30.0,,"非常轻的石头。
携带后，宝可梦的体重会变轻。"
583,rocky-helmet,凸凸头盔,12,4000,60.0,,"让宝可梦携带后，
在受到打击招式攻击时，
能给予对手伤害。"
584,air-balloon,气球,12,4000,10.0,,"让宝可梦携带后，
宝可梦会浮在空中。
受到攻击就会破裂。"
585,red-card,红牌,12,4000,10.0,,"有着神奇力量的卡片。
携带后，能让使用了
招式的对手退场。"
586,ring-target,标靶,12,4000,10.0,,"原本因宝可梦的属性相克关系
而无效的招式现在会变得
能够击中自己。"
587,binding-band,紧绑束带,12,4000,30.0,,"能增强绑紧招式的束带。
携带后，绑紧招式的威力会变强。"
588,absorb-bulb,球根,12,4000,30.0,,"一次性使用的球根。
携带它的宝可梦如果受到水属性
招式的攻击，特攻就会提高。"
589,cell-battery,充电电池,12,4000,30.0,,"一次性使用的充电电池。
携带它的宝可梦如果受到电属性
招式的攻击，攻击就会提高。"
590,eject-button,逃脱按键,12,4000,30.0,,"携带它的宝可梦如果受到招式攻击，
就能逃脱战斗，并和同行的
其他宝可梦进行替换。"
591,fire-gem,火之宝石,42,200,,,"火属性的宝石。
携带后，火属性的
招式威力仅会增强１次。"
592,water-gem,水之宝石,42,200,,,"水属性的宝石。
携带后，水属性的
招式威力仅会增强１次。"
593,electric-gem,电之宝石,42,200,,,"电属性的宝石。
携带后，电属性的
招式威力仅会增强１次。"
594,grass-gem,草之宝石,42,200,,,"草属性的宝石。
携带后，草属性的
招式威力仅会增强１次。"
595,ice-gem,冰之宝石,42,200,,,"冰属性的宝石。
携带后，冰属性的
招式威力仅会增强１次。"
596,fighting-gem,格斗宝石,42,200,,,"格斗属性的宝石。
携带后，格斗属性的
招式威力仅会增强１次。"
597,poison-gem,毒之宝石,42,200,,,"毒属性的宝石。
携带后，毒属性的
招式威力仅会增强１次。"
598,ground-gem,地面宝石,42,200,,,"地面属性的宝石。
携带后，地面属性的
招式威力仅会增强１次。"
599,flying-gem,飞行宝石,42,200,,,"飞行属性的宝石。
携带后，飞行属性的
招式威力仅会增强１次。"
600,psychic-gem,超能力宝石,42,200,,,"超能力属性的宝石。
携带后，超能力属性的
招式威力仅会增强１次。"
601,bug-gem,虫之宝石,42,200,,,"虫属性的宝石。
携带后，虫属性的
招式威力仅会增强１次。"
602,rock-gem,岩石宝石,42,200,,,"岩石属性的宝石。
携带后，岩石属性的
招式威力仅会增强１次。"
603,ghost-gem,幽灵宝石,42,200,,,"幽灵属性的宝石。
携带后，幽灵属性的
招式威力仅会增强１次。"
604,dark-gem,恶之宝石,42,200,,,"恶属性的宝石。
携带后，恶属性的
招式威力仅会增强１次。"
605,steel-gem,钢之宝石,42,200,,,"钢属性的宝石。
携带后，钢属性的
招式威力仅会增强１次。"
606,health-wing,体力之羽,26,300,20.0,,"用于宝可梦的道具。
能稍微提高１只宝可梦的
ＨＰ的基础点数。"
607,muscle-wing,肌力之羽,26,300,20.0,,"用于宝可梦的道具。
能稍微提高１只宝可梦的
攻击的基础点数。"
608,resist-wing,抵抗之羽,26,300,20.0,,"用于宝可梦的道具。
能稍微提高１只宝可梦的
防御的基础点数。"
609,genius-wing,智力之羽,26,300,20.0,,"用于宝可梦的道具。
能稍微提高１只宝可梦的
特攻的基础点数。"
610,clever-wing,精神之羽,26,300,20.0,,"用于宝可梦的道具。
能稍微提高１只宝可梦的
特防的基础点数。"
611,swift-wing,瞬发之羽,26,300,20.0,,"用于宝可梦的道具。
能稍微提高１只宝可梦的
速度的基础点数。"
612,pretty-wing,美丽之羽,24,1000,20.0,,"仅仅只是漂亮，
没有任何效果，
极其普通的羽毛。"
613,cover-fossil,背盖化石,35,7000,100.0,,"很久以前栖息在海里的
古代宝可梦的化石。
好像是后背的一部分。"
614,plume-fossil,羽毛化石,35,7000,100.0,,"据说是鸟宝可梦的祖先，
古代宝可梦的化石。
好像是翅膀的一部分。"
615,liberty-pass,自由船票,20,0,,,"用于前往自由庭园岛的特殊船票。
可以从飞云市上船。"
616,pass-orb,释出之玉,12,200,30.0,,"在这块神奇的玉石里，
封存着用于产生
释出之力的合众之力。"
617,dream-ball,梦境球,33,0,,,"有点与众不同的球。
能很容易地捕捉
睡眠状态的宝可梦。"
618,poke-toy,宝可尾草,11,100,30.0,,"能吸引宝可梦注意的道具。
在和野生宝可梦的
战斗中绝对可以逃走。"
619,prop-case,物品箱,21,0,,,"漂亮精美的箱子。
可以存放宝可梦出演音乐剧时
用来装扮自己的多种小物件。"
620,dragon-skull,龙之骨,22,0,,,"据说是能在狂风暴雨的
大海上随意翱翔的宝可梦的头骨。"
621,balm-mushroom,芳香蘑菇,24,15000,30.0,,"能让附近一带
芳香四溢的珍稀蘑菇。
可以在商店高价出售。"
622,big-nugget,巨大金珠,24,40000,130.0,,"以纯金制成，
闪着金光的大珠子。
可以在商店高价出售。"
623,pearl-string,丸子珍珠,24,20000,30.0,,"散发着美丽银辉
且非常大颗的珍珠。
可以在商店高价出售。"
624,comet-shard,彗星碎片,24,25000,30.0,,"彗星临近时，
掉落到地表上的碎片。
可以在商店高价出售。"
625,relic-copper,古代铜币,24,0,30.0,,"约３０００年前的
文明使用的铜币。"
626,relic-silver,古代银币,24,0,30.0,,"约３０００年前的
文明使用的银币。"
627,relic-gold,古代金币,24,60000,30.0,,"约３０００年前的
文明使用的金币。"
628,relic-vase,古代之壶,24,0,30.0,,"约３０００年前的
文明制造的壶。"
629,relic-band,古代手镯,24,0,30.0,,"约３０００年前的
文明制造的手镯。"
630,relic-statue,古代石像,24,0,30.0,,"约３０００年前的
文明制造的石像。"
631,relic-crown,古代王冠,24,0,30.0,,"约３０００年前的
文明制造的王冠。"
632,casteliacone,飞云冰淇淋,30,350,30.0,,"飞云市特产的冰淇淋。
能治愈１只宝可梦的
所有异常状态。"
633,dire-hit-2,要害攻击２,43,0,,,"击中要害的几率会提高。
每次使用效果都会提升。
离场后，效果便会消失。"
634,x-speed-2,速度强化２,43,0,,,"能相对提高战斗中
宝可梦的速度。
离场后，效果便会消失。"
635,x-sp-atk-2,特攻强化２,43,0,,,"能相对提高战斗中
宝可梦的特攻。
离场后，效果便会消失。"
636,x-sp-def-2,特防强化２,43,0,,,"能相对提高战斗中
宝可梦的特防。
离场后，效果便会消失。"
637,x-defense-2,防御强化２,43,0,,,"能相对提高战斗中
宝可梦的防御。
离场后，效果便会消失。"
638,x-attack-2,力量强化２,43,0,,,"能相对提高战斗中
宝可梦的攻击。
离场后，效果便会消失。"
639,x-accuracy-2,命中强化２,43,0,,,"能相对提高战斗中
宝可梦的命中。
离场后，效果便会消失。"
640,x-speed-3,速度强化３,43,0,,,"能大量提高战斗中
宝可梦的速度。
离场后，效果便会消失。"
641,x-sp-atk-3,特攻强化３,43,0,,,"能大量提高战斗中
宝可梦的特攻。
离场后，效果便会消失。"
642,x-sp-def-3,特防强化３,43,0,,,"能大量提高战斗中
宝可梦的特防。
离场后，效果便会消失。"
643,x-defense-3,防御强化３,43,0,,,"能大量提高战斗中
宝可梦的防御。
离场后，效果便会消失。"
644,x-attack-3,力量强化３,43,0,,,"能大量提高战斗中
宝可梦的攻击。
离场后，效果便会消失。"
645,x-accuracy-3,命中强化３,43,0,,,"能大量提高战斗中
宝可梦的命中。
离场后，效果便会消失。"
646,x-speed-6,速度强化６,43,0,,,"能极大提高战斗中
宝可梦的速度。
离场后，效果便会消失。"
647,x-sp-atk-6,特攻强化６,43,0,,,"能极大提高战斗中
宝可梦的特攻。
离场后，效果便会消失。"
648,x-sp-def-6,特防强化６,43,0,,,"能极大提高战斗中
宝可梦的特防。
离场后，效果便会消失。"
649,x-defense-6,防御强化６,43,0,,,"能极大提高战斗中
宝可梦的防御。
离场后，效果便会消失。"
650,x-attack-6,力量强化６,43,0,,,"能极大提高战斗中
宝可梦的攻击。
离场后，效果便会消失。"
651,x-accuracy-6,命中强化６,43,0,,,"能极大提高战斗中
宝可梦的命中。
离场后，效果便会消失。"
652,ability-urge,？？？,43,0,,,"使用后，能令我方
宝可梦的特性启动。"
653,item-drop,？？？,43,0,,,"使用后，能立刻丢弃
我方宝可梦携带的道具。"
654,item-urge,？？？,43,0,,,"使用后，能立刻使用
我方宝可梦携带的道具。"
655,reset-urge,？？？,43,0,,,"使用后，我方宝可梦的
能力变化将消失。"
656,dire-hit-3,要害攻击３,43,0,,,"击中要害的几率会大幅提高。
每次使用效果都会提升。
离场后，效果便会消失。"
657,light-stone,光明石,22,0,,,"莱希拉姆的肉体
毁灭后变成的样子。
据说它在等待着英雄的到来。"
658,dark-stone,黑暗石,22,0,,,"捷克罗姆的肉体
毁灭后变成的样子。
据说它在等待着英雄的到来。"
659,tm93,招式学习器９３,37,1000,,,"从身体放射出怪异电波，
让对手沐浴其中，
从而大幅降低其特攻。"
660,tm94,招式学习器９４,37,10000,,,"对手的ＨＰ
至少会留下１ＨＰ，
如此般手下留情地攻击。"
661,tm95,招式学习器９５,37,1000,,,"用连天空也能劈开的
空气之刃进行攻击。
有时会使对手畏缩。"
662,xtransceiver,即时通讯器,21,0,,,"带摄像头功能，
最多能让４人进行通话的
最新型对讲机。"
663,god-stone,,23,0,,,
664,gram-1,配送物品１,22,0,,,"长翅鸥投递的
重要信件。"
665,gram-2,配送物品２,22,0,,,"长翅鸥投递的
重要信件。"
666,gram-3,配送物品３,22,0,,,"长翅鸥投递的
重要信件。"
668,dragon-gem,龙之宝石,42,200,,,"龙属性的宝石。
携带后，龙属性的
招式威力仅会增强１次。"
669,normal-gem,一般宝石,42,4000,,,"一般属性的宝石。
携带后，一般属性的
招式威力仅会增强１次。"
670,medal-box,奖牌盒,21,0,,,"可以放入获得的奖牌，
并记录奖牌信息的箱形机器。"
671,dna-splicers,基因之楔,21,0,,,"据说是能让原本为一体的
酋雷姆和某宝可梦
合体的一对楔子。"
673,permit,许可证,21,0,,,"只有极少数人才知道的，
进入自然保护区所需的授权卡。"
674,oval-charm,圆形护符,21,0,,,"拥有它之后，在寄放屋里
会更容易找到蛋的
神奇浑圆护符。"
675,shiny-charm,闪耀护符,21,0,,,"拥有它之后，据说会
更容易遇见发光宝可梦的
神奇闪光护符。"
676,plasma-card,等离子卡,22,0,,,"在等离子驱逐舰的
船内输入密码时，
需要用到的钥匙卡。"
677,grubby-hanky,脏手帕,22,0,,,"七宝市仓库咖啡馆的
熟客遗失的手帕。
隐约有着宝可梦的香气。"
678,colress-machine,阿克罗玛机器,22,0,,,"能强行让宝可梦的能力
觉醒的特殊装置。
但由于是试制品，功能尚未完善。"
679,dropped-item,遗忘物,22,0,,,"在雷文市的游乐园里
捡到的即时通讯器。
失主好像是个男孩子。"
681,reveal-glass,现形镜,21,0,,,"能够通过照出真实，
让宝可梦变回原来
样子的神奇镜子。"
682,weakness-policy,弱点保险,12,1000,80.0,,"被针对弱点时，
攻击和特攻就会大幅提高。"
683,assault-vest,突击背心,12,1000,80.0,,"会变得富有攻击性的背心。
虽然携带后特防会提高，
但会无法使出变化招式。"
684,pixie-plate,妖精石板,17,1000,90.0,,"妖精属性的石板。
携带后，妖精属性的
招式威力就会增强。"
685,ability-capsule,特性胶囊,26,10000,,,"如果用于有着２种特性的宝可梦，
就能令其现有特性变为另一种的胶囊。"
686,whipped-dream,泡沫奶油,10,2000,80.0,,"松松软软起着泡的，
稍微有点甜的奶油。
某种宝可梦很喜欢它。"
687,sachet,香袋,10,2000,80.0,,"装着散发微浓香气的
香料的袋子。
某种宝可梦很喜欢它。"
688,luminous-moss,光苔,12,4000,30.0,,"一次性使用的光苔。
携带它的宝可梦如果受到水属性
招式攻击，特防就会提高。"
689,snowball,雪球,12,4000,30.0,,"一次性使用的雪球。
携带它的宝可梦如果受到冰属性
招式攻击，攻击就会提高。"
690,safety-goggles,防尘护目镜,12,4000,80.0,,"不单是天气造成的伤害，
就连粉末类招式的效果
也能防御的护目镜。"
691,rich-mulch,硕果肥,32,200,30.0,,"培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。"
692,surprise-mulch,吃惊肥,32,200,30.0,,"培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。"
693,boost-mulch,劲劲肥,32,200,30.0,,"培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。"
694,amaze-mulch,超效肥,32,200,30.0,,"培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。"
695,gengarite,耿鬼进化石,44,0,80.0,,"让耿鬼携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
696,gardevoirite,沙奈朵进化石,44,0,80.0,,"让沙奈朵携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
697,ampharosite,电龙进化石,44,0,80.0,,"让电龙携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
698,venusaurite,妙蛙花进化石,44,0,80.0,,"让妙蛙花携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
699,charizardite-x,喷火龙进化石Ｘ,44,0,80.0,,"让喷火龙携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
700,blastoisinite,水箭龟进化石,44,0,80.0,,"让水箭龟携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
701,mewtwonite-x,超梦进化石Ｘ,44,0,80.0,,"让超梦携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
702,mewtwonite-y,超梦进化石Ｙ,44,0,80.0,,"让超梦携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
703,blazikenite,火焰鸡进化石,44,0,80.0,,"让火焰鸡携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
704,medichamite,恰雷姆进化石,44,0,80.0,,"让恰雷姆携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
705,houndoominite,黑鲁加进化石,44,0,80.0,,"让黑鲁加携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
706,aggronite,波士可多拉进化石,44,0,80.0,,"让波士可多拉携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
707,banettite,诅咒娃娃进化石,44,0,80.0,,"让诅咒娃娃携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
708,tyranitarite,班基拉斯进化石,44,0,80.0,,"让班基拉斯携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
709,scizorite,巨钳螳螂进化石,44,0,80.0,,"让巨钳螳螂携带后，
在战斗时就能进行超级进化的
一种神奇超级石。"
